field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
국립호남권생물자원관,91,DC콤보,전라남도 목포시 고하도안길 99(달동 1357),08:00 ~ 19:00,정,전라남도 목포시 고하도안길 99 (달동),126.36622238349979,34.76615642806916
만호동행정복지센터,1,DC콤보,전라남도 목포시 수강로12번길 24,24시간 이용가능,정,전라남도 목포시 수강로12번길 24 (보광동2가),126.38722370725257,34.78729168373834
동명동행정복지센터,1,DC콤보,전라남도 목포시 자유로20번길 27,24시간 이용가능,정,전라남도 목포시 자유로20번길 27 (동명동),126.39201589568039,34.79095849891624
롯데마트 목포점,1,DC차데모+AC3상+DC콤보,전라남도 목포시 원형서로 15 롯데마트목포점,24시간 이용가능,정,전라남도 목포시 원형서로 15 (상동),126.42946714625488,34.79724593558004
남교공영주차장,1,DC콤보,전라남도 목포시 남교동 57,24시간 이용가능,정,전라남도 목포시 남교동 57,126.38054451585104,34.7941188354121
목포벤처문화산업지원센터주차장,1,DC콤보,전라남도 목포시 석현동 1175,24시간 이용가능,정,전라남도 목포시 석현동 1175,126.42608934906954,34.816235238747694
목포시종합관광안내소,1,DC차데모+AC3상+DC콤보,전라남도 목포시 영산로 843(대양동 276),24시간 이용가능,정,전라남도 목포시 영산로 843 (대양동),126.42222669113903,34.83827048728577
목포해양경찰서,21,DC콤보,전라남도 목포시 청호로 231,09:00 ~ 18:00,정,전라남도 목포시 청호로 231 (산정동),126.36816929673346,34.81028547722551
국립호남권생물자원관,92,DC콤보,전라남도 목포시 고하도안길 99(달동 1357),08:00 ~ 19:00,정,전라남도 목포시 고하도안길 99 (달동),126.36622238349979,34.76615642806916
이로시장공영주차장,1,DC콤보,전라남도 목포시 용당동 993-2,24시간 이용가능,정,전라남도 목포시 용당동 993-2,126.40388312062143,34.80512413951057
서해지방해양경찰청,21,DC콤보,전라남도 목포시 남악로162번길25,24시간 이용가능,정,전라남도 목포시 남악로162번길 25 (옥암동),126.45727294360253,34.80404287307891
롯데마트 목포점,2,DC차데모+AC3상+DC콤보,전라남도 목포시 원형서로 15 롯데마트목포점,24시간 이용가능,정,전라남도 목포시 원형서로 15 (상동),126.42946714625488,34.79724593558004
비파공영주차장,1,DC콤보,전라남도 목포시 상동 32,24시간 이용가능,정,전라남도 목포시 상동 32,126.42024796610345,34.80742727889374
자유시장 공영주차장,1,DC콤보,전라남도 목포시 용당로 58,24시간 이용가능,정,전라남도 목포시 용당로 58 (산정동),126.40261581394435,34.79275968383015
평화광장 공영1주차장,1,DC콤보,전라남도 목포시 옥암동 1100,24시간 이용가능,정,전라남도 목포시 옥암동 1100,126.43813064246427,34.7984986222518
목포해양경찰서,22,DC콤보,전라남도 목포시 청호로 231,09:00 ~ 18:00,정,전라남도 목포시 청호로 231 (산정동),126.36816929673346,34.81028547722551
보리마당 주차장,1,DC콤보,전라남도 목포시 해안로127번길 7,24시간 이용가능,정,전라남도 목포시 해안로127번길 7 (금화동),126.3773708979309,34.78137612200016
국립해양 문화재연구소,1,DC콤보,전라남도 목포시 남농로 136(용해동 8),24시간 이용가능,정,전라남도 목포시 남농로 136 (용해동),126.42166049972646,34.79180276954295
서해지방해양경찰청,22,DC콤보,전라남도 목포시 남악로162번길25,24시간 이용가능,정,전라남도 목포시 남악로162번길 25 (옥암동),126.45727294360253,34.80404287307891
고하도 해상케이블카,1,DC콤보,전라남도 목포시 고하도안길 185,24시간 이용가능,정,전라남도 목포시 고하도안길 185 (달동),126.36008673823844,34.773828637845156
유달산공원유료주차장,1,DC콤보,전라남도 목포시 측후동 4,24시간 이용가능,정,전라남도 목포시 측후동 4,126.38182857831738,34.78884097591495
골드클래스7차아파트,1,DC차데모+AC3상+DC콤보,전라남도 목포시 연산동 1925,정보없음,정,전라남도 목포시 연산동 1925,126.39127357022218,34.81839178677541
평화광장 공영1주차장,2,DC콤보,전라남도 목포시 옥암동 1100,24시간 이용가능,정,전라남도 목포시 옥암동 1100,126.43813064246427,34.7984986222518
국민건강보험공단,1,DC콤보,전라남도 목포시 삼향천로 171(목포지사 사옥),24시간 이용가능,정,전라남도 목포시 삼향천로 171 (석현동),126.42702905208996,34.81461408500941
근화옥암베아채,1,DC차데모+AC3상+DC콤보,전라남도 목포시 남악1로52번길 83(1246 근화옥암베아채),24시간 이용가능,정,전라남도 목포시 남악1로52번길 83 (옥암동),126.45233262633575,34.812171823619
KD빌리앙뜨,1,DC차데모+AC3상+DC콤보,전라남도 목포시 석현동 옥암로 174,정보없음,정,전라남도 목포시 옥암로 174 (석현동),126.42367348825294,34.81433557323041
녹색에너지연구원,1,DC콤보,전라남도 목포시 삼향천로 177(석현동 1175-4),24시간 이용가능,정,전라남도 목포시 삼향천로 177 (석현동),126.42683829171192,34.81537074586156
꿈동산 신안2차아파트,1,DC차데모+AC3상+DC콤보,전라남도 목포시 상동 1019,정보없음,정,전라남도 목포시 상동 1019,126.42478721916603,34.79851732516852
골드클래스7차아파트,2,AC완속,전라남도 목포시 연산동 1925,정보없음,정,전라남도 목포시 연산동 1925,126.39127357022218,34.81839178677541
대성사랑으로,1,DC차데모+AC3상+DC콤보,전라남도 목포시 석현동 영산로 610,정보없음,정,전라남도 목포시 영산로 610 (석현동),126.42189458823238,34.819541657090234
근화옥암베아채,2,AC완속,전라남도 목포시 남악1로52번길 83(1246 근화옥암베아채),24시간 이용가능,정,전라남도 목포시 남악1로52번길 83 (옥암동),126.45233262633575,34.812171823619
동부시장공영주차장,1,DC차데모+AC3상+DC콤보,전라남도 목포시 영산로 257번길 15(동부시장 옆),정보없음,정,전라남도 목포시 영산로257번길 15 (용당동),126.39345622097886,34.80460824016132
KD빌리앙뜨,2,AC완속,전라남도 목포시 석현동 옥암로 174,정보없음,정,전라남도 목포시 옥암로 174 (석현동),126.42367348825294,34.81433557323041
